,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,RAPE16,FONDL16,ROBBE16,AGG_A16,geo_address,lat_lng,lat,long
8190,Pennsylvania College of Technology,Main Campus,ONE COLLEGE AVE,WILLIAMSPORT,PA,177015799,1,"Public, 4-year or above",3466.0,1980.0,5446.0,3,1,0,0,"ONE COLLEGE AVE, WILLIAMSPORT, PA, 177015799","[41.2325454, -77.02124959999999]",41.2325454,-77.0212496
8198,Suffolk County Community College,MICHAEL J. GRANT CAMPUS,1001 Crooked Hill Road,Brentwood,NY,11717,4,"Public, 2-year",12462.0,14604.0,27066.0,0,0,0,1,"1001 Crooked Hill Road, Brentwood, NY, 11717","[40.7968133, -73.2751205]",40.7968133,-73.2751205
8209,Mercy-St Luke's School of Radiologic Technology,Main Campus,1026 A AVE NE,CEDAR RAPIDS,IA,52402,5,"Private nonprofit, 2-year",3.0,18.0,21.0,0,0,0,1,"1026 A AVE NE, CEDAR RAPIDS, IA, 52402","[41.9853036, -91.66043220000002]",41.9853036,-91.6604322
8213,California State University-San Marcos,Main Campus,333 S TWIN OAKS VALLEY RD,San Marcos,CA,920960001,1,"Public, 4-year or above",5125.0,8019.0,13144.0,4,2,1,0,"333 S TWIN OAKS VALLEY RD, San Marcos, CA, 920960001","[33.1291277, -117.1596548]",33.1291277,-117.1596548
8225,McNally Smith College of Music,Main Campus,19 Exchange St E,Saint Paul,MN,551012220,3,"Private for-profit, 4-year or above",262.0,114.0,376.0,0,0,2,0,"19 Exchange St E, Saint Paul, MN, 551012220","[44.9499965, -93.0972724]",44.9499965,-93.0972724
8293,Sunstate Academy,Clearwater Campus,2525 Drew St,CLEARWATER,FL,337652702,9,"Private for-profit, less-than 2-year",45.0,218.0,263.0,0,0,1,0,"2525 Drew St, CLEARWATER, FL, 337652702","[27.9670729, -82.732714]",27.9670729,-82.732714
8320,Madison Adult Career Center,Main Campus,600 ESLEY LN,MANSFIELD,OH,44905,4,"Public, 2-year",36.0,92.0,128.0,0,0,0,1,"600 ESLEY LN, MANSFIELD, OH, 44905","[40.7745392, -82.4585275]",40.7745392,-82.4585275
8349,College of the Marshall Islands,Arrak Campus,PO BOX 1258,Majuro,MH,96960,4,"Public, 2-year",502.0,506.0,1008.0,0,0,0,1,"PO BOX 1258, Majuro, MH, 96960","[7.068208899999999, 171.2815413]",7.0682089,171.2815413
8351,University of Cosmetology Arts & Sciences-San Antonio Jamar,University of Cosmetology Arts and Sciences,910 SE Military Suite 100,San Antonio,TX,78226,9,"Private for-profit, less-than 2-year",2.0,24.0,26.0,0,0,1,0,"910 SE Military Suite 100, San Antonio, TX, 78226","[29.3541987, -98.48476099999999]",29.3541987,-98.484761
8362,University of Washington-Bothell Campus,Bothell Campus,18115 Campus Way NE,BOTHELL,WA,980118246,1,"Public, 4-year or above",2878.0,2856.0,5734.0,1,0,0,0,"18115 Campus Way NE, BOTHELL, WA, 980118246","[47.7589, -122.1906495]",47.7589,-122.1906495
8363,University of Washington-Tacoma Campus,Tacoma Campus,1900 COMMERCE ST,TACOMA,WA,984023100,1,"Public, 4-year or above",2307.0,2680.0,4987.0,0,1,0,0,"1900 COMMERCE ST, TACOMA, WA, 984023100","[47.2466316, -122.4388664]",47.2466316,-122.4388664
8412,Miller-Motte Technical College-Clarksville,Main Campus,1820 BUSINESS PARK DR,CLARKSVILLE,TN,37040,6,"Private for-profit, 2-year",134.0,282.0,416.0,0,0,1,0,"1820 BUSINESS PARK DR, CLARKSVILLE, TN, 37040","[36.5562816, -87.3253168]",36.5562816,-87.3253168
8416,Southwest Collegiate Institute for the Deaf,SouthWest Colligate Institute for the Deaf,3200 AVE C,BIG SPRING,TX,797207298,4,"Public, 2-year",44.0,62.0,106.0,1,0,0,0,"3200 AVE C, BIG SPRING, TX, 797207298","[32.2278739, -101.503276]",32.2278739,-101.503276
8434,Antonelli College-Hattiesburg,ANTONELLI COLLEGE,1500 N 31ST AVE,HATTIESBURG,MS,39401,6,"Private for-profit, 2-year",21.0,167.0,188.0,0,0,0,1,"1500 N 31ST AVE, HATTIESBURG, MS, 39401","[31.3496821, -89.3356652]",31.3496821,-89.3356652
8440,Estrella Mountain Community College,Main Campus,3000 N DYSART RD,Avondale,AZ,853921000,4,"Public, 2-year",3750.0,5594.0,9344.0,0,1,0,0,"3000 N DYSART RD, Avondale, AZ, 853921000","[33.4809823, -112.3454656]",33.4809823,-112.3454656
8475,Diversified Vocational College,Diversified Vocational College,1670 Wilshire Blvd,Los Angeles,CA,900171604,9,"Private for-profit, less-than 2-year",323.0,361.0,684.0,0,0,0,1,"1670 Wilshire Blvd, Los Angeles, CA, 900171604","[34.0561128, -118.2724303]",34.0561128,-118.2724303
8476,UEI College-Fresno,Main Campus,3602 N. Blackstone Ave. Ste. 0268,FRESNO,CA,93726,9,"Private for-profit, less-than 2-year",231.0,610.0,841.0,0,0,1,2,"3602 N. Blackstone Ave. Ste. 0268, FRESNO, CA, 93726","[36.7815555, -119.7885945]",36.7815555,-119.7885945
8481,Soka University of America,Soka University of America,1 University Drive,Aliso Viejo,CA,926568081,2,"Private nonprofit, 4-year or above",165.0,265.0,430.0,0,1,0,0,"1 University Drive, Aliso Viejo, CA, 926568081","[33.55587, -117.7335121]",33.55587,-117.7335121
8530,Schuyler Steuben Chemung Tioga Allegany BOCES,Bush Education Center,459 PHILO ROAD,ELMIRA,NY,149031089,7,"Public, less-than 2-year",9.0,151.0,160.0,0,1,0,0,"459 PHILO ROAD, ELMIRA, NY, 149031089","[42.148992, -76.835096]",42.148992,-76.835096
8538,Arizona State University-West,West Campus,4701 W. Thunderbird Road,Glendale,AZ,853060153,1,"Public, 4-year or above",1454.0,2209.0,3663.0,0,0,1,0,"4701 W. Thunderbird Road, Glendale, AZ, 853060153","[33.6095253, -112.1613248]",33.6095253,-112.1613248
8543,Empire Beauty School-Malden,"Empire Beauty School, Malden MA",347 PLEASANT STREET,MALDEN,MA,02148,9,"Private for-profit, less-than 2-year",6.0,95.0,101.0,0,0,0,1,"347 PLEASANT STREET, MALDEN, MA, 02148","[42.4274993, -71.0766117]",42.4274993,-71.0766117
8566,University of Cosmetology Arts & Sciences-Harlingen,Branch Campus,913 N 13TH ST,HARLINGEN,TX,785505034,9,"Private for-profit, less-than 2-year",4.0,101.0,105.0,0,0,0,1,"913 N 13TH ST, HARLINGEN, TX, 785505034","[26.2000223, -97.6840921]",26.2000223,-97.6840921
8569,Warren County Career Center,Main Campus,3525 North State Route 48,LEBANON,OH,450361099,4,"Public, 2-year",133.0,101.0,234.0,0,1,0,0,"3525 North State Route 48, LEBANON, OH, 450361099","[39.489337, -84.20188]",39.489337,-84.20188
8588,Franklin Technology-MSSU,MSSU Campus,3950 East Newman Rd,Joplin,MO,64801,7,"Public, less-than 2-year",48.0,117.0,165.0,2,1,0,0,"3950 East Newman Rd, Joplin, MO, 64801","[37.0979465, -94.45960079999999]",37.0979465,-94.4596008
8600,Roger Williams University School of Law,Roger Williams University School of Law,Ten Metacom Ave,Bristol,RI,02809,2,"Private nonprofit, 4-year or above",207.0,224.0,431.0,8,2,0,1,"Ten Metacom Ave, Bristol, RI, 02809","[41.6508691, -71.2619925]",41.6508691,-71.2619925
8601,California State University-Monterey Bay,"California State University, Monterey Bay",100 CAMPUS CTR,SEASIDE,CA,939558001,1,"Public, 4-year or above",2693.0,4581.0,7274.0,13,2,1,4,"100 CAMPUS CTR, SEASIDE, CA, 939558001","[36.6508506, -121.7977026]",36.6508506,-121.7977026
8611,Remington College-Memphis Campus,Remington College (Memphis Campus),2710 NONCONNAH BLVD,MEMPHIS,TN,38132,2,"Private nonprofit, 4-year or above",178.0,422.0,600.0,0,0,0,1,"2710 NONCONNAH BLVD, MEMPHIS, TN, 38132","[35.0714053, -89.989726]",35.0714053,-89.989726
