,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,RAPE15,FONDL15,ROBBE15,AGG_A15,geo_address,lat_lng,lat,long
582,East Los Angeles College,East Los Angeles College,1301 Avenida Cesar Chavez,Monterey Park,CA,917546099,4,"Public, 2-year",18901.0,18287.0,37188.0,0,1,1,2,"1301 Avenida Cesar Chavez Monterey Park, CA","[34.0411583, -118.1509885]",34.0411583,-118.1509885
583,El Camino Community College District,Main Campus,16007 Crenshaw Boulevard,Torrance,CA,905060001,4,"Public, 2-year",11606.0,12395.0,24001.0,1,4,2,0,"16007 Crenshaw Boulevard Torrance, CA","[33.8852359, -118.3284419]",33.8852359,-118.3284419
591,Feather River Community College District,Main Campus,570 GOLDEN EAGLE AVE,QUINCY,CA,95971,4,"Public, 2-year",921.0,921.0,1842.0,2,1,0,1,"570 GOLDEN EAGLE AVE QUINCY, CA","[39.9521349, -120.9649378]",39.9521349,-120.9649378
598,Foothill College,Main Campus,12345 EL MONTE RD,LOS ALTOS HILLS,CA,94022,4,"Public, 2-year",7911.0,7537.0,15448.0,0,0,1,0,"12345 EL MONTE RD LOS ALTOS HILLS, CA","[37.3620489, -122.1271421]",37.3620489,-122.1271421
601,Fresno City College,Main Campus,1101 E. UNIVERSITY AVE,FRESNO,CA,93741,4,"Public, 2-year",10675.0,12022.0,22697.0,0,1,2,3,"1101 E. UNIVERSITY AVE FRESNO, CA","[36.7681866, -119.7971561]",36.7681866,-119.7971561
617,Gavilan College,Main Campus,5055 SANTA TERESA BLVD,GILROY,CA,95020,4,"Public, 2-year",3095.0,3024.0,6119.0,0,0,0,3,"5055 SANTA TERESA BLVD GILROY, CA","[36.9732557, -121.5685598]",36.9732557,-121.5685598
621,Glendale Community College,Main (Verdugo) Campus,1500 N. Verdugo Rd.,Glendale,CA,912082894,4,"Public, 2-year",7267.0,8321.0,15588.0,0,0,1,0,"1500 N. Verdugo Rd. Glendale, CA","[34.1683045, -118.2282025]",34.1683045,-118.2282025
628,Golden West College,Golden West College,15744 GOLDEN WEST,HUNTINGTON BEACH,CA,926472710,4,"Public, 2-year",5739.0,6354.0,12093.0,0,1,2,1,"15744 GOLDEN WEST HUNTINGTON BEACH, CA","[33.7325619, -118.0046404]",33.7325619,-118.0046404
630,Grossmont College,GROSSMONT COLLEGE,8800 GROSSMONT COLLEGE DR,EL CAJON,CA,92020,4,"Public, 2-year",7901.0,10258.0,18159.0,0,0,0,2,"8800 GROSSMONT COLLEGE DR EL CAJON, CA","[32.8164953, -117.0063045]",32.8164953,-117.0063045
632,Hartnell College,Main Campus,411 Central Avenue,SALINAS,CA,93901,4,"Public, 2-year",6199.0,4977.0,11176.0,0,0,0,5,"411 Central Avenue SALINAS, CA","[36.6739876, -121.6656719]",36.6739876,-121.6656719
633,Harvey Mudd College,Main Campus,301 Platt Boulevard,Claremont,CA,917113947,2,"Private nonprofit, 4-year or above",443.0,382.0,825.0,4,1,0,0,"301 Platt Boulevard Claremont, CA","[34.1061112, -117.7089441]",34.1061112,-117.7089441
654,Reedley College,Reedley College,995 N REED AVE,REEDLEY,CA,93654,4,"Public, 2-year",4017.0,5819.0,9836.0,0,0,0,1,"995 N REED AVE REEDLEY, CA","[36.6063848, -119.4610896]",36.6063848,-119.4610896
657,Reedley College,Willow International,10309 N. Willow,Fresno,CA,93730,4,"Public, 2-year",4017.0,5819.0,9836.0,1,0,0,0,"10309 N. Willow Fresno, CA","[36.8865174, -119.7313037]",36.8865174,-119.7313037
660,University of La Verne,MAIN CAMPUS,1950 THIRD ST,LA VERNE,CA,917504401,2,"Private nonprofit, 4-year or above",3245.0,5089.0,8334.0,2,0,0,0,"1950 THIRD ST LA VERNE, CA","[34.1008542, -117.7732346]",34.1008542,-117.7732346
670,Lancaster Beauty School,Main Campus,44646 N 10TH ST W,LANCASTER,CA,93534,9,"Private for-profit, less-than 2-year",27.0,70.0,97.0,0,0,0,1,"44646 N 10TH ST W LANCASTER, CA","[34.6951487, -118.1477175]",34.6951487,-118.1477175
671,Laney College,Main Campus,900 FALLON ST,OAKLAND,CA,94607,4,"Public, 2-year",5287.0,6380.0,11667.0,0,0,1,4,"900 FALLON ST OAKLAND, CA","[37.7968647, -122.2631464]",37.7968647,-122.2631464
673,Life Chiropractic College West,Main Campus,25001 INDUSTRIAL BLVD,HAYWARD,CA,945452800,2,"Private nonprofit, 4-year or above",317.0,248.0,565.0,0,0,2,0,"25001 INDUSTRIAL BLVD HAYWARD, CA","[37.637552, -122.1182247]",37.637552,-122.1182247
676,La Sierra University,La Sierra University,4500 Riverwalk Parkway,RIVERSIDE,CA,925158247,2,"Private nonprofit, 4-year or above",1041.0,1435.0,2476.0,0,0,0,4,"4500 Riverwalk Parkway RIVERSIDE, CA","[33.91072870000001, -117.5000725]",33.9107287,-117.5000725
679,Loma Linda University,Loma Linda University,11206 Campus Street Suite A,LOMA LINDA,CA,92354,2,"Private nonprofit, 4-year or above",1681.0,2809.0,4490.0,0,0,1,2,"11206 Campus Street Suite A LOMA LINDA, CA","[34.0499579, -117.266044]",34.0499579,-117.266044
681,Long Beach City College,Pacific Coast Campus,1305 East Pacific Coast Highway,Long Beach,CA,90806,4,"Public, 2-year",11109.0,13369.0,24478.0,0,0,1,0,"1305 East Pacific Coast Highway Long Beach, CA","[33.790531, -118.173847]",33.790531,-118.173847
682,Southern California University of Health Sciences,Southern California University of Health Sciences Campus,16200 E AMBER VALLEY DR,WHITTIER,CA,906054098,2,"Private nonprofit, 4-year or above",473.0,571.0,1044.0,0,1,0,0,"16200 E AMBER VALLEY DR WHITTIER, CA","[33.9233755, -117.9818061]",33.9233755,-117.9818061
684,Los Angeles Pierce College,Los Angeles Pierce College,6201 Winnetka Avenue,Woodland Hills,CA,913710002,4,"Public, 2-year",9507.0,11260.0,20767.0,1,1,1,0,"6201 Winnetka Avenue Woodland Hills, CA","[34.1824071, -118.5710341]",34.1824071,-118.5710341
685,Los Angeles Southwest College,Los Angeles Southwest College,1600 W. Imperial Hwy.,Los Angeles,CA,900474810,4,"Public, 2-year",2127.0,4699.0,6826.0,0,1,0,0,"1600 W. Imperial Hwy. Los Angeles, CA","[33.9307202, -118.3062636]",33.9307202,-118.3062636
687,Los Angeles Valley College,Los Angeles Valley College,5800 Fulton Avenue,Valley Glen,CA,914014096,4,"Public, 2-year",8095.0,10743.0,18838.0,0,1,2,1,"5800 Fulton Avenue Valley Glen, CA","[34.1757062, -118.4201438]",34.1757062,-118.4201438
691,Los Angeles City College,Los Angeles City College,855 North Vermont Ave.,Los Angeles,CA,900293516,4,"Public, 2-year",8180.0,10645.0,18825.0,1,3,0,3,"855 North Vermont Ave. Los Angeles, CA","[34.0892329, -118.2927846]",34.0892329,-118.2927846
694,Los Medanos College,Main Campus,2700 East LELAND Road,PITTSBURG,CA,94565,4,"Public, 2-year",4062.0,4799.0,8861.0,0,0,1,0,"2700 East LELAND Road PITTSBURG, CA","[38.005398, -121.8603083]",38.005398,-121.8603083
696,Loyola Marymount University,Westchester Campus,One LMU Drive,LOS ANGELES,CA,900452659,2,"Private nonprofit, 4-year or above",3956.0,5436.0,9392.0,6,6,0,0,"One LMU Drive LOS ANGELES, CA","[33.9708101, -118.4193224]",33.9708101,-118.4193224
707,College of Marin,Kentfield,835 COLLEGE AVE,KENTFIELD,CA,949042590,4,"Public, 2-year",2361.0,3129.0,5490.0,2,0,0,1,"835 COLLEGE AVE KENTFIELD, CA","[37.955595, -122.5496]",37.955595,-122.5496
