UNITID_P,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,MURD14,NEG_M14,RAPE14,FONDL14,INCES14,STATR14,ROBBE14,AGG_A14,BURGLA14,VEHIC14,ARSON14,MURD15,NEG_M15,RAPE15,FONDL15,INCES15,STATR15,ROBBE15,AGG_A15,BURGLA15,VEHIC15,ARSON15,MURD16,NEG_M16,RAPE16,FONDL16,INCES16,STATR16,ROBBE16,AGG_A16,BURGLA16,VEHIC16,ARSON16,FILTER14,FILTER15,FILTER16
130943002,University of Delaware,Lewes,700 Pilottown Road,Lewes,DE,19958,1,"Public, 4-year or above",10024,12985,23009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
130943003,University of Delaware,Wilmington,2600 Pennsylvania Avenue,Wilmington,DE,19806,1,"Public, 4-year or above",10024,12985,23009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
130989001,Goldey-Beacom College,Main Campus,4701 LIMESTONE RD,WILMINGTON,DE,198081927,2,"Private nonprofit, 4-year or above",951,1112,2063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
131061001,Schilling-Douglas School of Hair Design LLC,Main Campus,211 Louviers Drive,NEWARK,DE,197114167,9,"Private for-profit, less-than 2-year",7,129,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
131098001,Wesley College,Wesley College,120 N STATE ST,DOVER,DE,199013875,2,"Private nonprofit, 4-year or above",651,822,1473,0,0,1,0,0,0,1,0,5,0,0,0,0,3,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,1
131098003,Wesley College,Dover AFB,261 Chad Street,Dover AFB,DE,19902,2,"Private nonprofit, 4-year or above",651,822,1473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
131113001,Wilmington University,Main Campus - New Castle,320 DUPONT HWY,NEW CASTLE,DE,19720,2,"Private nonprofit, 4-year or above",5737,9579,15316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
131113002,Wilmington University,Dover Air Force Base,"261 Chad Street, Room 301",Dover AFB,DE,19902,2,"Private nonprofit, 4-year or above",5737,9579,15316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
131113004,Wilmington University,Georgetown,21225 College Drive,Georgetown,DE,19947,2,"Private nonprofit, 4-year or above",5737,9579,15316,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
131113006,Wilmington University,Dover,3282 North DuPont Highway,Dover,DE,19901,2,"Private nonprofit, 4-year or above",5737,9579,15316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
131113008,Wilmington University,Wilson Graduate Center,31 Reads Way,New Castle,DE,19720,2,"Private nonprofit, 4-year or above",5737,9579,15316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
131113011,Wilmington University,Salem Community College,460 Hollywood Ave.,Carneys Point,NJ,080692799,2,"Private nonprofit, 4-year or above",5737,9579,15316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
131113012,Wilmington University,Cumberland County College,3322 College Drive,Vineland,NJ,08362,2,"Private nonprofit, 4-year or above",5737,9579,15316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
131113013,Wilmington University,Middletown campus,651 North Broad St,Middletown,DE,19709,2,"Private nonprofit, 4-year or above",5737,9579,15316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
131113014,Wilmington University,Mount Laurel,3331 Route 38,Mount Laurel,NJ,08054,2,"Private nonprofit, 4-year or above",5737,9579,15316,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
131113017,Wilmington University,Rehoboth,41 Rehoboth Avenue,Rehoboth Beach,DE,19971,2,"Private nonprofit, 4-year or above",5737,9579,15316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
131113018,Wilmington University,Brandywine,3509 Silverside Road Talley Building Suite 100,Wilmington,DE,19810,2,"Private nonprofit, 4-year or above",5737,9579,15316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
131113019,Wilmington University,Rowan College at Gloucester County,1400 Tanyard Road,Sewell,NJ,08080,2,"Private nonprofit, 4-year or above",5737,9579,15316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
